Trial,Dose,Well,Minute,MD ,MV,TD
1,1,A5,3,0.008103944,0.243114774,12.747504
1,1,A5,4,0.030901686,0.927036594,55.15951
1,1,A5,5,0.123895463,3.716808377,212.232928
1,1,A5,6,0.097345899,2.920333791,173.081008
1,1,A5,7,0.032642639,0.979265868,58.299754
1,1,A5,8,0.053801872,1.61403407,95.982539
1,1,A5,9,0.080430971,2.412897037,143.327991
1,1,A5,10,0.104842928,3.145242066,186.725255
1,1,A5,11,0.127479354,3.824327891,227.933085
1,1,A5,12,0.114733855,3.441968149,203.88206
1,1,A5,13,0.109823399,3.294655877,196.583885
1,1,A5,14,0.113947611,3.418381199,202.484904
1,1,A5,15,0.123966455,3.718941555,218.428894
1,1,A5,16,0.104993601,3.149763617,187.518571
1,1,A5,17,0.12602594,3.780726003,220.419369
1,1,A5,18,0.148341963,4.450195342,260.191803
1,1,A5,19,0.150762898,4.522821218,268.659485
1,1,A5,20,0.161690733,4.850654518,276.652844
1,1,A5,21,0.179718863,5.391487366,319.360419
1,1,A5,22,0.173098611,5.19288603,306.55764
1,1,A5,23,0.165864143,4.975854853,292.584348
1,1,A5,24,0.160972501,4.82910641,283.79452
1,1,A5,25,0.127969088,3.839016957,227.912945
1,1,A5,26,0.065949692,1.978470385,1.714692
1,,,,,,
1,2,A6,1,0.181896213,5.456808777,325.594221
1,2,A6,2,0.177710007,5.331221537,298.375102
1,2,A6,3,0.177976743,5.339230871,279.957416
1,2,A6,4,0.176469282,5.294004599,314.997668
1,2,A6,5,0.131429678,3.94283547,225.139038
1,2,A6,6,0.180853089,5.425519291,321.556792
1,2,A6,7,0.16540811,4.962172968,295.418885
1,2,A6,8,0.162616293,4.878423346,290.107467
1,2,A6,9,0.171206112,5.136113378,305.089292
1,2,A6,10,0.143466473,4.303932878,255.226856
1,2,A6,11,0.124780361,3.743357251,221.984262
1,2,A6,12,0.123555611,3.706617504,219.805432
1,2,A6,13,0.127775213,3.833205531,228.717631
1,2,A6,14,0.055960685,1.678796882,99.442138
1,2,A6,15,0.053652649,1.609557628,94.535967
1,2,A6,16,0.065783348,1.973474115,117.48906
1,2,A6,17,0.107580201,3.227358983,188.372932
1,2,A6,18,0.148651591,4.45948886,260.73489
1,2,A6,19,0.158944151,4.76825841,283.874254
1,2,A6,20,0.166777491,5.003255908,285.689842
1,2,A6,21,0.077814773,2.334412151,138.89937
1,2,A6,22,0.057261609,1.717823945,101.753879
1,2,A6,23,0.029114335,0.87341735,51.532373
1,2,A6,24,0.047305069,1.419132065,83.398837
1,2,A6,25,0.02961313,0.888380977,52.740984
1,2,A6,26,0,0,0
1,,,,,,
1,2,B1,1,0.046212077,1.386343218,82.719617
1,2,B1,2,0.046608968,1.39825131,78.256458
1,2,B1,3,0.066201912,1.986031526,104.135607
1,2,B1,4,0.058260188,1.747780768,103.994435
1,2,B1,5,0.036725961,1.101763818,62.911572
1,2,B1,6,0.048424156,1.452703352,86.098149
1,2,B1,7,0.035591433,1.067729614,63.5663
1,2,B1,8,0.027950666,0.83850796,49.863989
1,2,B1,9,0.027835947,0.835068075,49.603658
1,2,B1,10,0.024931245,0.747925867,44.402548
1,2,B1,11,0.042228761,1.266845134,75.589483
1,2,B1,12,0.058626338,1.758766009,104.296255
1,2,B1,13,0.133581369,4.007379698,239.110651
1,2,B1,14,0.236495255,7.094759292,420.725058
1,2,B1,15,0.244650451,7.339409921,431.074094
1,2,B1,16,0.059858278,1.795723651,106.906884
1,2,B1,17,0.144709766,4.341232433,252.807962
1,2,B1,18,0.176163159,5.284820914,308.461692
1,2,B1,19,0.205312829,6.159300352,367.099338
1,2,B1,20,0.212424202,6.372636591,363.882658
1,2,B1,21,0.209500412,6.284924459,373.958236
1,2,B1,22,0.221220285,6.636515372,392.444786
1,2,B1,23,0.23917154,7.175044514,423.333625
1,2,B1,24,0.240738891,7.222065752,424.422665
1,2,B1,25,0.229414803,6.88234722,407.670105
1,2,B1,26,0.109334654,3.279992308,2.842701
,,,,,,
1,2,B2,1,0.072013103,2.160363369,128.903455
1,2,B2,2,0.075477646,2.264298719,126.726967
1,2,B2,3,0.074312182,2.229336586,116.893062
1,2,B2,4,0.052978809,1.589342224,94.567174
1,2,B2,5,0.029571849,0.887141594,50.656578
1,2,B2,6,0.036655507,1.099649888,65.173491
1,2,B2,7,0.047085994,1.412560101,84.095585
1,2,B2,8,0.070447089,2.113384322,125.677607
1,2,B2,9,0.065957985,1.978712351,117.537129
1,2,B2,10,0.057302867,1.719062179,102.056407
1,2,B2,11,0.057534927,1.726023458,102.987519
1,2,B2,12,0.0578858,1.736549933,102.978838
1,2,B2,13,0.03572842,1.071837436,63.953872
1,2,B2,14,0.031114211,0.933412473,55.352182
1,2,B2,15,0.015249022,0.457463956,26.868776
1,2,B2,16,0.029151214,0.874523024,52.064068
1,2,B2,17,0.040645923,1.219361108,71.171011
1,2,B2,18,0.032741702,0.982238512,57.428945
1,2,B2,19,0.048268924,1.448046281,86.304836
1,2,B2,20,0.032880046,0.986387531,56.323519
1,2,B2,21,0.024789945,0.74368893,44.250052
1,2,B2,22,0.021870914,0.656117693,38.864615
1,2,B2,23,0.014960666,0.448813339,26.480378
1,2,B2,24,0.005962366,0.178867833,10.511651
1,2,B2,25,0.002044739,0.061341494,3.64168
1,2,B2,26,0,0,0
,,,,,,
1,2,B3,1,0.126238655,3.787107408,225.967193
1,2,B3,2,0.135353616,4.060549124,227.258722
1,2,B3,3,0.196475235,5.89417302,309.055545
1,2,B3,4,0.167373682,5.021142773,298.762022
1,2,B3,5,0.146118007,4.383482242,250.300146
1,2,B3,6,0.127355933,3.820624078,226.438848
1,2,B3,7,0.131698077,3.950887749,235.212766
1,2,B3,8,0.177770618,5.333042707,317.142782
