Trial ,Well ,Dose ,Minute ,TD ,MV 
3,B3,2,2,223.535,3.83857
1,C1,2,14,223.41,3.94248
2,C5,2,22,223.286,3.94725
3,C1,2,21,223.251,3.7732
1,B4,2,13,223.199,4.22987
1,C3,2,15,222.865,4.32742
1,B2,2,24,221.426,3.89145
2,C4,2,25,221.327,3.8806
1,B5,2,4,221.096,3.85179
1,C4,2,19,220.949,3.91516
2,C3,2,20,220.777,3.85969
2,C1,2,25,219.653,3.88074
3,C5,2,5,219.448,3.7512
3,C4,2,22,219.307,3.94194
2,B5,2,1,219.274,3.83341
1,C1,2,1,218.523,3.70373
3,C5,2,1,218.195,3.89165
1,C1,2,4,218.17,3.84776
2,B6,2,13,217.663,3.73132
2,C3,2,23,217.573,3.79704
2,C1,2,21,217.458,3.82395
3,B4,2,2,217.219,3.67125
2,C3,2,19,217.113,3.82685
1,C1,2,15,217.056,4.02199
1,B5,2,16,216.897,3.70125
1,B5,2,11,216.76,3.96024
2,B6,2,19,216.675,4.00502
2,B5,2,25,216.598,3.8133
2,C3,2,25,216.273,3.69904
2,B6,2,12,215.706,3.74268
1,C2,2,7,215.66,4.05878
2,B6,2,21,215.575,4.10612
3,C2,2,2,215.371,3.64414
2,B6,2,1,214.889,3.76772
1,B2,2,4,214.851,3.64768
2,C3,2,9,214.64,3.64203
3,C4,2,11,212.794,3.5904
1,B5,2,15,212.565,4.09561
2,C5,2,1,212.27,3.7218
2,B4,2,24,212.219,3.6547
1,C1,2,21,212.147,3.83855
1,C1,2,6,211.424,3.61197
1,C4,2,5,211.303,3.74423
1,B5,2,3,211.282,3.5993
3,C1,2,22,211.228,3.79674
1,C1,2,12,211.138,3.85283
3,C1,2,14,210.971,3.54966
1,C4,2,25,210.78,3.91294
2,C1,2,11,210.552,3.64903
1,C4,2,14,210.538,3.80257
1,C1,2,24,209.798,3.92141
2,B6,2,14,209.321,3.58014
1,B2,2,5,209.307,3.58807
3,C1,2,1,209.273,3.73251
2,C5,2,25,209.206,3.67668
2,B4,2,15,208.546,3.56686
1,B6,2,19,208.483,3.57191
1,B2,2,19,207.895,3.54361
1,B3,2,21,207.74,4.07594
2,C3,2,17,207.726,3.62729
1,C1,2,9,207.538,3.54559
1,C1,2,16,207.307,3.50373
1,B5,2,2,207.004,3.51048
2,B4,2,12,206.985,3.54826
2,C5,2,24,205.991,3.56587
3,B4,2,13,205.448,3.45092
2,B4,2,25,205.347,3.61946
1,C3,2,14,205.225,3.70883
3,B4,2,25,204.871,3.44315
3,B3,2,25,204.786,3.43212
2,C3,2,6,204.785,3.50055
2,C2,2,11,204.667,3.4886
1,C2,2,12,204.263,3.88327
1,C4,2,3,203.864,3.49877
1,B2,2,17,203.589,3.48209
1,B5,2,12,203.465,3.81252
1,B3,2,24,203.214,4.16132
3,B4,2,3,203.103,3.46193
2,C1,2,4,203.097,4.26668
2,B4,2,14,202.086,3.44655
1,B4,2,3,201.598,3.42461
1,B6,2,10,201.227,3.53231
2,C4,2,24,201.087,3.53814
1,C4,2,2,200.947,3.42713
1,B2,2,18,200.413,3.44348
3,B3,2,15,200.167,3.41383
1,C3,2,1,200.052,3.39835
2,B5,2,22,199.993,3.62083
3,C1,2,24,199.661,3.35937
1,B3,2,25,199.578,4.08129
2,C3,2,10,199.372,3.39256
1,B6,2,18,199.024,3.47534
2,C3,2,15,198.905,3.36363
1,B2,2,3,198.463,3.36373
1,C3,2,19,198.389,3.36628
1,C2,2,18,198.307,3.42692
2,B6,2,22,198.222,3.74941
1,C4,2,4,198.182,3.43862
1,C2,2,13,197.888,3.53367
1,B4,2,12,197.818,3.894
2,C4,2,23,197.556,3.41787
2,C3,2,12,197.515,3.39758
1,B4,2,2,197.457,3.37528
2,C2,2,22,197.399,3.453
1,B6,2,9,197.393,3.38964
3,C4,2,21,196.827,3.31912
1,B2,2,2,196.77,3.34259
1,B6,2,17,196.405,3.44564
2,C3,2,21,196.316,3.49518
2,C3,2,13,196.252,3.39531
2,C3,2,7,196.115,3.30526
3,B3,2,23,195.965,3.29902
1,B5,2,5,195.904,3.43085
1,C1,2,2,195.878,3.38884
2,C2,2,23,195.692,3.36429
1,B4,2,4,195.297,3.38465
2,C2,2,5,194.851,3.28027
1,C4,2,22,194.731,3.91807
2,B6,2,3,194.433,3.32739
1,C4,2,1,194.066,3.29293
3,B4,2,24,193.556,3.24936
1,B5,2,6,193.448,3.28802
1,B3,2,1,193.231,3.27876
2,C2,2,21,193.035,3.41248
2,C2,2,2,192.965,3.26502
2,C5,2,21,192.905,3.42431
1,B4,2,5,192.691,3.41645
3,B3,2,13,192.587,3.23491
1,C4,2,20,192.34,3.44897
2,B5,2,4,191.792,4.04903
2,B5,2,16,191.624,3.4157
3,B4,2,10,191.402,3.22584
1,B3,2,4,191.134,3.28028
2,C4,2,22,190.898,3.43749
2,C3,2,18,190.836,3.26583
1,C4,2,13,190.788,3.44586
2,B4,2,22,190.574,3.33945
1,C2,2,20,190.329,3.20235
1,C1,2,17,190.007,3.21859
2,C3,2,14,189.539,3.25105
1,B3,2,3,189.252,3.26292
2,C4,2,13,189.046,3.22233
3,C5,2,20,188.967,3.46299
2,C4,2,15,188.288,3.21124
3,C5,2,23,188.138,3.16372
1,C2,2,25,188.049,3.5018
2,C2,2,25,187.999,3.21912
2,B6,2,23,187.976,3.32697
1,B3,2,22,187.343,3.60732
2,B6,2,11,186.932,3.24342
1,C3,2,22,186.686,3.52453
2,C2,2,15,186.356,3.17107
3,B5,2,16,186.339,3.39204
2,C2,2,3,186.31,3.13649
1,C4,2,18,186.066,3.31074
1,C3,2,5,185.979,3.21388
1,C3,2,10,184.766,3.27789
3,B3,2,24,183.901,3.08038
3,B4,2,21,183.888,3.11143
2,C4,2,5,183.846,3.08807
2,C4,2,3,183.815,3.10669
3,C1,2,15,183.776,3.13429
1,C3,2,2,183.76,3.09878
1,B2,2,1,183.456,3.09887
1,C3,2,4,182.612,3.21683
1,B2,2,20,182.526,3.12718
1,B4,2,1,181.64,3.11557
2,C5,2,4,180.819,3.82275
2,C4,2,2,180.443,3.05659
3,B4,2,4,180.358,3.1078
2,C4,2,21,180.113,3.15983
1,C2,2,14,179.495,3.19003
3,B4,2,5,179.184,3.06293
1,B2,2,16,178.929,3.03436
1,B3,2,5,178.921,3.19307
1,B4,2,25,178.241,3.40801
3,B4,2,23,178.136,2.99552
2,C2,2,13,178.104,3.03238
1,C3,2,13,177.895,3.2581
1,C2,2,10,177.219,3.09639
2,C3,2,11,175.692,3.04136
1,C2,2,6,175.328,2.95492
1,C4,2,12,175.322,3.25067
1,C3,2,3,175.09,2.97768
2,B4,2,11,174.867,2.97726
1,B6,2,6,174.697,2.96427
1,C3,2,18,173.947,2.97851
2,C3,2,22,173.75,3.05714
2,C4,2,6,173.67,2.96868
2,C3,2,24,173.328,2.99698
1,C4,2,15,172.366,3.41765
2,C4,2,14,171.092,2.94136
3,C3,2,6,171.005,2.87399
1,B3,2,23,170.964,3.27722
2,B4,2,13,170.591,2.95478
3,B4,2,15,170.439,2.91013
1,B5,2,17,170.185,3.03717
2,C4,2,12,170.122,2.92135
1,B3,2,2,170.003,2.92098
1,C2,2,4,169.843,2.91322
2,C2,2,14,169.589,2.87434
3,C1,2,6,167.575,2.82109
2,C3,2,3,166.963,2.83144
1,C3,2,16,166.462,2.82294
2,C2,2,12,166.208,2.81228
3,B4,2,22,165.889,2.98178
2,C4,2,1,165.483,2.88797
1,C1,2,3,165.336,2.82622
1,B4,2,19,164.783,2.88079
1,C2,2,5,164.681,2.87564
1,C1,2,7,164.615,2.97852
2,B6,2,15,163.803,2.83719
2,B6,2,4,162.427,3.50558
3,C3,2,1,161.348,2.87774
3,C4,2,1,161.32,2.87724
3,B4,2,20,160.845,2.94404
1,C2,2,3,160.726,2.70732
3,B3,2,22,160.389,2.88639
2,C2,2,1,160.147,2.7916
3,C2,2,9,159.387,2.68928
2,C3,2,5,159.113,2.68315
1,B2,2,9,158.956,2.68201
2,C4,2,11,158.941,2.69998
1,B5,2,18,158.689,2.88696
2,C1,2,18,158.268,2.68399
1,C2,2,15,156.012,3.00984
2,C4,2,4,155.781,3.27265
3,B3,2,12,155.746,2.63823
2,C1,2,17,155.581,2.6504
3,C2,2,19,155.414,4.01582
2,B6,2,25,154.24,2.6793
1,B4,2,17,153.645,2.70816
2,C1,2,19,152.668,2.65661
3,B4,2,16,152.6,2.79142
2,B6,2,17,152.379,2.63021
2,B5,2,7,151.142,2.52882
1,C4,2,17,150.979,2.70244
3,C4,2,17,150.917,2.59749
2,C3,2,16,150.019,2.68047
1,B4,2,16,149.73,2.558
2,C3,2,2,149.679,2.52975
2,C2,2,4,149.404,3.13432
2,B4,2,3,148.449,2.5189
1,C2,2,16,148.4,2.51664
1,C4,2,16,148.209,2.52482
2,B6,2,5,147.728,2.47863
3,C1,2,9,147.508,2.48885
3,C5,2,19,146.649,3.78932
3,B4,2,12,146.374,2.47668
3,B5,2,18,146.024,2.4876
2,B6,2,10,145.122,2.45135
2,B4,2,2,144.66,2.44217
3,C2,2,17,143.177,2.46429
2,B4,2,5,142.845,2.39402
3,B3,2,17,141.424,2.4369
1,B4,2,18,141.378,2.49634
2,B5,2,8,140.916,2.37495
2,B4,2,21,140.858,2.46109
3,B5,2,19,140.709,3.63585
1,B5,2,9,140.598,2.40335
1,B5,2,10,140.206,2.45255
3,C3,2,16,140.046,2.48747
2,B5,2,9,139.96,2.35488
2,C1,2,10,139.788,2.37866
2,C1,2,9,138.859,2.33635
1,B6,2,7,138.684,2.50329
1,C2,2,2,138.329,2.3565
1,C4,2,6,137.212,2.31513
2,C3,2,4,136.493,2.88972
2,B5,2,17,135.851,2.31561
1,B4,2,20,135.664,2.44731
2,B6,2,24,133.972,2.29139
2,C1,2,20,133.534,2.31693
2,B5,2,21,133.412,2.31347
2,B4,2,4,133.042,2.79693
2,C3,2,1,132.391,2.3145
2,C2,2,6,131.552,2.23851
1,B3,2,15,131.213,2.3292
2,B6,2,6,130.569,2.24215
1,B6,2,8,129.378,3.02752
2,C4,2,17,128.825,2.1996
1,C1,2,8,128.742,3.06524
1,C2,2,1,128.097,2.16134
1,C2,2,17,127.195,2.18295
2,B5,2,19,126.425,2.21277
2,B4,2,1,126.354,2.20254
2,C1,2,16,125.948,2.22389
2,C5,2,7,125.733,2.10841
1,C2,2,9,124.891,2.18592
1,B3,2,9,124.689,2.15597
3,B3,2,1,124.681,2.27654
2,C5,2,20,124.185,2.14109
3,B4,2,1,119.624,2.13356
2,C1,2,6,119.368,2.0358
1,B4,2,7,119.308,2.1758
3,B3,2,21,117.934,1.99773
1,B2,2,8,117.551,2.71895
1,B4,2,10,114.287,1.97497
2,C4,2,18,113.793,1.94515
1,B5,2,7,113.067,2.03843
2,C2,2,19,112.581,1.96588
2,C5,2,8,111.867,1.88115
2,C1,2,7,111.248,1.86134
2,C4,2,20,111.016,1.91625
1,B4,2,9,110.299,1.90496
2,C5,2,9,110.102,1.84835
2,C5,2,18,109.438,1.87178
1,B4,2,6,109.087,1.85101
3,C1,2,16,108.737,1.93135
3,B3,2,18,107.1,1.8245
2,C5,2,16,106.232,1.88018
2,C5,2,17,106.127,1.80383
1,C3,2,6,105.637,1.79856
2,C5,2,19,105.506,1.84879
2,C4,2,19,105.052,1.82802
3,B6,2,16,103.055,1.95671
3,C4,2,9,102.067,1.72213
2,B4,2,10,101.84,1.71831
1,B2,2,6,101.694,1.71585
2,C4,2,7,101.097,1.69529
1,B5,2,8,100.501,2.35914
2,C5,2,6,98.999,1.6865
2,C5,2,10,98.9182,1.66433
2,C4,2,10,98.9136,1.66239
2,C2,2,20,98.6168,1.69442
3,B4,2,9,98.1115,1.6554
2,B5,2,20,97.6045,1.67511
2,B6,2,7,97.4967,1.63127
2,C2,2,10,96.2822,1.62912
2,C4,2,16,95.7839,1.70331
1,B2,2,7,94.7491,1.7082
2,B5,2,18,92.8906,1.58514
2,B4,2,6,91.4894,1.56212
3,B3,2,20,90.7732,1.66147
2,B5,2,10,90.3653,1.51872
2,C2,2,8,90.0736,1.51722
2,C4,2,9,89.1758,1.49705
3,C4,2,10,88.7726,1.49615
2,B6,2,8,88.6113,1.48758
1,C2,2,23,88.5914,1.50834
2,B6,2,9,88.019,1.48762
2,C2,2,9,87.8201,1.47429
1,C4,2,9,87.5075,1.5122
1,C3,2,9,86.6117,1.48221
2,C2,2,7,86.335,1.44612
2,B6,2,16,85.8187,1.52791
1,B3,2,6,84.1064,1.42874
2,C1,2,8,83.8758,1.41045
1,C3,2,7,82.8655,1.48148
2,C4,2,8,81.6766,1.37116
1,C2,2,21,79.0507,1.33831
3,C4,2,7,78.5825,1.42875
3,B3,2,19,77.6977,2.00766
1,C4,2,7,77.0812,1.38136
2,C2,2,16,72.6456,1.28574
1,B4,2,8,72.6212,1.73043
2,B4,2,16,69.9187,1.25301
3,C2,2,10,66.5236,1.12117
1,B3,2,16,66.4443,1.11047
1,C3,2,8,63.8538,1.49889
3,B6,2,20,63.7062,1.16605
1,B3,2,7,62.6439,1.15012
3,C2,2,8,62.2472,1.04499
1,C4,2,8,59.7953,1.39925
1,C2,2,8,59.0428,1.40799
1,C2,2,22,58.2614,0.986908
2,C2,2,18,58.2268,0.991362
1,B3,2,8,57.4305,1.35023
3,B3,2,11,57.0226,0.964835
3,C4,2,18,56.9931,0.970909
3,B4,2,7,56.555,1.02826
3,C3,2,9,56.4112,282.05
3,C1,2,8,56.0861,0.941555
3,C3,2,17,55.6325,0.957517
3,B3,2,10,51.0055,0.859632
3,B4,2,18,50.96,0.868131
2,B4,2,9,50.0724,0.844379
2,B4,2,20,48.8946,0.840102
2,B4,2,19,48.8053,0.860751
3,B4,2,17,46.75,0.804636
3,C2,2,20,46.4291,0.84982
1,B3,2,20,45.635,0.774777
3,B4,2,19,45.0732,1.16668
3,B3,2,7,44.5214,0.809469
2,B4,2,8,43.9622,0.742176
3,C3,2,18,43.5776,0.742369
3,C2,2,7,42.7319,0.776932
2,B4,2,7,42.1655,0.705492
3,B3,2,9,41.9048,0.707046
3,C1,2,17,38.5377,0.66329
2,B4,2,18,37.3271,0.642086
3,C2,2,18,36.8444,0.627664
3,C3,2,20,32.6112,0.596903
3,B4,2,8,31.3118,0.525651
3,C1,2,18,31.289,0.533025
2,B4,2,17,31.0378,0.530555
3,C4,2,8,29.3886,0.493365
3,B5,2,17,28.9546,0.498351
3,C3,2,19,27.4204,0.708529
3,B3,2,8,24.4264,0.410062
3,B6,2,17,22.9249,0.394571
2,C2,2,17,21.0903,0.358471
3,C1,2,20,20.9522,0.3835
3,C1,2,7,20.8347,0.378808
3,B6,2,18,18.0233,0.307037
3,B6,2,19,17.2505,0.445742
3,C1,2,19,12.615,0.325966
3,C4,2,20,8.18269,0.149773
3,C4,2,19,6.46613,0.167081
3,A3,3,20,707.917,11.9714
1,B1,3,24,590.465,10.1048
1,B1,3,25,576.828,10.0258
1,B1,3,13,569.267,9.60506
1,B1,3,12,556.724,9.38812
1,B1,3,4,503.646,8.47877
3,A4,3,5,493.496,8.43091
3,B1,3,3,491.379,8.27225
1,A5,3,1,486.46,8.21712
1,A5,3,13,478.945,8.10843
1,A5,3,4,470.655,7.88797
1,B1,3,5,469.963,7.86758
3,B1,3,14,455.075,7.78339
1,A5,3,3,454.481,7.65968
3,B1,3,2,454.118,7.64069
1,A5,3,2,449.427,7.49867
1,B1,3,22,439.709,7.50774
1,B1,3,23,439.075,7.6805
3,B1,3,12,438.552,7.38293
1,B1,3,3,437.355,7.35453
1,A5,3,5,436.943,7.32296
1,A5,3,23,431.578,7.39417
1,A5,3,14,428.828,7.40625
3,B1,3,13,427.745,7.24572
3,A1,3,11,424.369,7.19665
1,A5,3,12,423.777,7.22338
3,B1,3,4,410.895,7.39453
3,A3,3,21,409.878,6.91573
3,A1,3,14,409.812,7.00524
1,A1,3,12,408.034,6.92748
3,A1,3,12,399.947,6.74059
3,B1,3,21,399.244,6.78209
1,B2,3,20,396.624,6.76438
3,A5,3,3,396.316,6.68315
3,B1,3,5,393.425,6.70983
3,A5,3,15,389.734,6.59439
3,A5,3,14,389.486,6.63887
1,A5,3,15,385.927,7.48393
1,A5,3,24,385.731,6.51563
3,A1,3,24,379.139,6.52553
1,A5,3,22,373.034,6.54436
3,A4,3,4,370.784,6.67268
3,A1,3,13,365.791,6.24919
3,B1,3,15,360.463,6.106
3,A5,3,4,359.702,6.47324
3,A2,3,12,359.647,6.08531
3,A4,3,3,358.449,6.0344
1,B2,3,19,357.764,6.10509
3,A5,3,5,355.359,6.06062
3,A3,3,11,353.94,6.00909
1,A1,3,2,353.429,5.89695
1,B3,3,23,351.117,6.01218
3,A1,3,25,350.996,6.11483
1,A1,3,13,349.733,5.95788
1,A1,3,25,346.974,6.16285
1,B1,3,14,345.923,5.89299
1,A1,3,1,337.524,5.68853
1,A5,3,25,336.628,5.84753
1,A1,3,4,335.716,5.63905
1,A1,3,5,335.636,5.61884
3,A3,3,9,335.066,5.6376
3,B1,3,11,334.301,5.66925
1,A3,3,4,330.574,5.55578
1,A3,3,13,329.635,5.57121
1,A1,3,3,328.692,5.51797
3,A5,3,25,328.34,5.73011
1,B3,3,24,322.868,5.46917
1,B2,3,21,321.869,5.46151
1,A3,3,25,319.452,5.56207
1,C1,3,21,319.044,5.36201
1,A5,3,21,316.395,5.51204
1,B1,3,20,313.846,5.31934
3,A3,3,22,311.579,5.26013
1,C1,3,22,310.96,5.20282
1,B2,3,16,309.976,5.27163
1,A1,3,14,308.082,5.29646
3,A3,3,12,307.791,5.18451
1,A3,3,5,305.265,5.10469
3,A3,3,19,304.943,5.42273
3,A3,3,2,304.792,5.12822
3,B2,3,2,304.488,5.12311
3,B1,3,22,304.287,5.15733
1,A1,3,15,301.886,5.78687
3,A3,3,14,298.386,5.09763
1,B3,3,25,294.334,5.07464
3,A6,3,21,293.266,4.95933
1,A3,3,2,291.645,4.87152
3,A3,3,15,291.362,4.92436
3,A3,3,3,290.441,4.8895
1,A3,3,20,288.443,4.95033
3,A3,3,13,288.391,4.88515
1,C1,3,4,288.39,4.83463
3,A3,3,10,288.17,4.88416
1,B2,3,25,287.264,5.05739
1,B2,3,24,286.633,4.98773
3,A2,3,5,285.829,4.87479
3,A3,3,25,285.012,4.91959
3,A3,3,8,281.315,4.78692
1,A4,3,25,281.184,4.80924
3,A3,3,5,281.016,4.7927
1,A3,3,14,280.246,4.79046
1,A4,3,21,279.98,4.76151
3,A2,3,15,278.586,4.71907
1,B2,3,4,277.875,4.68059
1,A3,3,23,277.172,4.81195
1,A3,3,1,276.464,4.65944
3,A3,3,4,274.825,4.94579
1,C1,3,2,272.92,4.57018
3,A4,3,25,269.61,4.74937
1,C1,3,20,268.953,4.52268
1,A3,3,21,268.147,4.5915
3,A2,3,13,265.925,4.50969
3,A1,3,23,265.556,4.5162
3,A3,3,23,265.348,4.49736
3,A2,3,6,263.399,4.54391
3,A4,3,23,263.129,4.45472
3,A5,3,2,262.947,4.43412
3,A6,3,3,262.902,4.4259
3,A2,3,23,260.732,4.41414
3,B1,3,1,260.704,5.89821
1,A5,3,11,260.688,4.47398
1,B3,3,22,258.16,4.37553
1,B2,3,18,255.902,4.32017
1,B3,3,3,255.484,4.28898
1,A1,3,24,255.244,4.35316
3,A3,3,24,254.366,4.363
1,A4,3,24,253.636,4.32327
3,A2,3,24,251.895,4.32555
1,A5,3,10,251.75,4.23815
3,A4,3,2,251.578,4.23289
1,A3,3,22,251.525,4.57312
3,A4,3,21,248.85,4.2417
1,A4,3,23,248.129,4.22701
1,A1,3,19,247.824,4.20749
3,A6,3,5,247.578,4.22241
3,A6,3,20,246.71,4.16031
3,A2,3,14,244.914,4.19847
1,C1,3,5,244.343,4.11924
1,C1,3,12,243.164,4.10745
1,A1,3,23,241.94,4.21737
1,A4,3,15,241.302,4.52152
3,A4,3,24,240.973,4.14037
3,A5,3,24,240.144,4.1475
1,B2,3,22,239.689,4.15881
3,A6,3,25,239.666,4.1512
1,A3,3,15,239.143,4.50923
3,A2,3,11,235.958,4.00603
1,A4,3,5,235.614,3.9356
3,A2,3,21,233.587,3.94123
3,A6,3,4,231.357,4.16353
1,A4,3,4,230.95,3.87495
1,B1,3,2,228.949,3.83279
1,C1,3,23,228.557,3.8391
1,A4,3,14,227.536,3.9028
1,A3,3,12,224.24,3.77502
1,B2,3,3,222.949,3.75751
1,B3,3,2,221.88,3.72277
1,A4,3,22,221.635,3.77996
1,A3,3,11,221.414,3.78265
1,B2,3,15,219.337,4.16984
1,C1,3,10,219.317,3.66746
3,A2,3,25,218.992,3.78874
1,C1,3,19,218.949,3.97842
1,B2,3,13,218.839,3.70908
1,B3,3,14,218.651,3.74184
1,A4,3,16,217.48,3.68604
1,C1,3,9,216.949,3.63699
1,B3,3,13,216.945,3.64404
1,A1,3,18,214.614,3.62518
1,C1,3,3,213.687,3.57432
1,A3,3,24,212.744,3.65953
1,B1,3,21,212.589,3.63187
3,A6,3,11,212.06,3.60437
3,A2,3,4,212.021,3.81556
3,A2,3,3,211.035,3.55273
1,C1,3,17,209.609,3.55364
3,A3,3,1,209.316,4.70719
1,C1,3,7,208.646,3.50955
3,A2,3,22,208.316,3.54073
1,C1,3,1,207.533,3.65049
1,B2,3,17,205.603,3.48672
3,A2,3,2,205.433,3.45648
1,A3,3,3,205.386,3.45374
3,A6,3,22,204.284,3.44487
1,A1,3,11,203.904,3.48748
1,C1,3,11,203.793,3.45505
1,A1,3,22,202.52,3.48766
1,B2,3,2,201.855,3.36795
1,A4,3,2,200.572,3.34653
1,A5,3,16,199.49,3.38497
1,C1,3,8,198.598,3.32655
1,A4,3,20,198.034,3.36788
3,A6,3,2,197.753,3.32726
1,A5,3,8,197.595,3.4524
1,C1,3,24,196.653,3.96073
1,C1,3,25,195.495,3.30782
1,B1,3,19,195.436,3.29198
3,B2,3,21,194.61,3.30964
1,B2,3,23,193.705,3.26282
1,A4,3,13,193.604,3.26111
1,B3,3,12,192.389,3.22976
1,C1,3,6,192.03,3.23733
1,B3,3,19,191.309,3.23699
3,A4,3,22,189.285,3.19554
1,A3,3,10,188.579,3.18541
1,B3,3,15,187.997,3.56275
1,B2,3,14,187.909,3.23791
1,A4,3,12,187,3.15518
1,B3,3,5,186.708,3.13967
3,B1,3,20,186.507,3.14156
1,A5,3,9,186.184,3.15561
3,B2,3,1,185.144,4.17927
1,C1,3,13,183.772,3.1209
3,A6,3,24,183.456,3.13595
3,A5,3,21,179.725,3.03585
3,A2,3,1,179.327,4.04491
1,A5,3,7,179.021,3.49417
1,B3,3,4,178.498,3.00498
1,C1,3,14,177.163,3.00781
1,A4,3,3,177.133,2.97032
3,A6,3,10,176.357,2.99244
1,C1,3,15,174.208,2.94597
3,A2,3,16,173.8,2.93246
1,B3,3,18,172.164,2.93625
3,A6,3,19,172.058,3.0633
3,A5,3,13,171.617,2.90053
1,A5,3,20,171.594,2.95508
1,A4,3,17,171.161,2.9125
1,C1,3,18,170.85,2.87541
3,A5,3,6,170.712,2.94496
1,A1,3,21,168.631,2.91074
3,A2,3,20,168.448,2.86311
1,A4,3,1,168.361,2.83432
1,A1,3,16,168.262,2.85833
3,A4,3,20,167.225,2.84554
1,C1,3,16,166.784,2.97559
1,B3,3,16,164.989,2.80908
3,A6,3,23,163.965,2.77589
1,B1,3,11,161.595,2.77651
1,B3,3,21,158.645,2.70414
1,A3,3,19,157.341,2.70187
1,B3,3,11,156.484,2.65373
3,A5,3,7,154.614,2.60728
3,A1,3,21,152.729,2.57695
1,B3,3,17,152.404,2.59335
1,B2,3,12,151.079,2.55198
1,A1,3,20,146.751,2.50996
1,B2,3,1,142.785,2.40375
3,B2,3,23,142.544,2.41324
1,B1,3,10,140.94,2.3807
1,B3,3,1,140.886,2.37179
1,A5,3,19,140.198,2.36951
3,A3,3,6,138.704,2.39279
1,B1,3,9,138.515,2.35299
3,A4,3,6,137.812,2.37739
1,A5,3,6,137.092,2.30273
1,A5,3,18,136.664,2.30458
3,A4,3,19,135.341,2.44883
3,A2,3,17,132.562,2.23416
3,A6,3,12,130.333,2.18921
1,A4,3,11,129.058,2.17878
3,A2,3,19,127.242,2.27622
3,A3,3,18,126.759,2.13876
3,A4,3,14,125.308,2.16046
1,A3,3,16,124.178,2.12389
3,B1,3,19,121.123,2.1539
3,A2,3,18,120.952,2.04423
1,A3,3,18,120.574,2.04476
3,A5,3,20,120.567,2.03543
3,A3,3,7,120.282,2.02834
3,A5,3,8,118.162,2.01067
1,A1,3,10,117.21,1.96878
3,A4,3,10,116.668,1.9774
1,A3,3,9,114.753,1.93836
1,B1,3,6,114.746,1.93389
3,A4,3,15,114.367,1.9373
1,A3,3,8,114.024,1.98531
1,A3,3,17,113.435,1.92805
3,A6,3,9,111.986,1.88844
3,B2,3,11,111.103,1.88842
1,A5,3,17,110.357,1.87573
1,B1,3,18,109.662,1.84303
3,A6,3,13,107.22,1.8101
3,B2,3,22,106.915,1.80903
3,A4,3,17,106.162,1.78922
1,A1,3,6,105.308,1.77085
3,A6,3,18,103.216,1.74153
3,A5,3,12,102.718,1.73313
1,A1,3,17,102.234,1.73964
3,A2,3,9,101.163,1.70401
3,A2,3,10,100.8,1.70846
3,A5,3,9,100.518,1.69315
3,A3,3,16,96.4794,1.63154
3,B2,3,20,94.7029,1.60059
3,A4,3,9,94.2039,1.58501
3,B2,3,3,93.8399,1.57977
3,A1,3,15,93.0475,1.5735
1,A4,3,6,91.7115,1.54048
3,B1,3,6,91.459,1.57776
3,A1,3,2,91.0022,1.53114
3,A1,3,22,90.4717,1.52908
3,A4,3,16,88.8277,1.49708
3,A4,3,12,88.5958,1.49485
3,A2,3,7,88.5551,1.49332
3,A4,3,7,88.2362,1.48794
1,A3,3,7,87.3777,1.70104
3,A6,3,14,86.7518,1.4787
1,A1,3,8,86.3846,1.51108
3,A4,3,18,85.7372,1.4581
3,A3,3,17,85.0583,1.43194
3,B2,3,19,83.7612,1.49127
3,A1,3,20,82.419,1.39141
3,A4,3,1,82.1402,1.84031
3,B1,3,7,82.0837,1.38419
1,B3,3,10,79.1987,1.32882
3,A4,3,13,77.2501,1.30857
3,A4,3,8,76.9796,1.3099
3,A6,3,17,75.7383,1.27504
1,A4,3,18,74.6632,1.25764
3,A5,3,1,74.658,1.67268
3,A6,3,15,73.6539,1.24344
1,A4,3,19,72.48,1.22362
1,B1,3,7,71.9561,1.40629
3,A5,3,23,71.5104,1.21202
1,B1,3,8,71.1505,1.2446
3,B2,3,13,70.6055,1.19063
1,A1,3,7,69.8717,1.362
3,A5,3,10,68.0915,1.15932
1,B1,3,1,68.0597,1.14577
3,A2,3,8,67.2021,1.14352
1,A1,3,9,66.2487,1.12031
3,B1,3,18,65.5232,1.10431
3,B1,3,10,65.509,1.1103
3,B1,3,8,65.1731,1.109
3,A4,3,11,64.6641,1.09413
3,B2,3,9,64.4246,1.08397
3,A5,3,11,64.1921,1.09107
3,A6,3,1,64.1159,1.43648
1,B3,3,9,64.012,1.08616
3,A5,3,22,63.9156,1.07782
3,A1,3,10,63.2483,1.07199
1,A4,3,9,60.8356,1.02646
1,B3,3,6,60.4026,1.01459
1,A4,3,10,60.3629,1.01279
3,B1,3,9,59.3072,0.997862
3,B2,3,24,59.0912,1.01009
3,B2,3,15,58.5354,0.988207
3,A1,3,9,57.6327,0.96969
3,A6,3,8,54.8263,0.932934
3,B1,3,25,54.4789,0.941985
3,B2,3,14,53.7505,0.916189
3,B2,3,18,53.07,0.894427
3,A5,3,19,51.7655,0.920535
1,B3,3,7,50.5159,0.985982
1,B3,3,20,49.8713,0.848137
3,B2,3,10,49.3238,0.83693
1,B1,3,17,48.9083,0.82754
3,B2,3,12,48.2819,0.813728
1,B3,3,8,48.1265,0.841851
1,A3,3,6,44.3823,0.745493
