Trail,Dose,Well,Minute,MD,MV,TD
1,1,A6,2,0.264703732,7.941004923,428.025934
1,1,A6,3,0.262064298,7.861817215,466.736514
1,1,A6,4,0.239449237,7.183371462,425.740744
1,1,A6,5,0.244067004,7.321906906,434.683334
1,1,A6,6,0.082426409,2.472757336,145.729891
1,1,A6,7,0.094124659,2.823699832,168.012517
1,1,A6,8,0.084148223,2.524409402,150.62532
1,1,A6,9,0.087199576,2.615948211,154.517648
1,1,A6,10,0.079777027,2.393278974,137.615372
1,1,A6,11,0.092782028,2.78342239,164.966445
1,1,A6,12,0.103859562,3.115743954,181.754234
1,1,A6,13,0.108573934,3.25717266,193.913047
1,1,A6,14,0.120011112,3.60028077,201.138624
1,1,A6,15,0.172069089,5.161996983,304.562287
1,1,A6,16,0.067986137,2.039562047,120.879352
1,1,A6,17,0.052726571,1.58177612,94.169656
1,1,A6,18,0.046759438,1.402764793,83.512357
1,1,A6,19,0.049387728,1.481612218,88.157095
1,1,A6,20,0.064475016,1.934223393,114.958954
1,1,A6,21,0.140529869,4.215833453,250.283697
1,1,A6,22,0.08002584,2.400740303,142.686073
1,1,A6,23,0.059969066,1.799047102,106.56503
1,1,A6,24,0.036110974,1.083313373,64.241423
1,1,A6,25,0.002429841,0.072894107,4.312967
1,1,A6,26,0,0,0
,,,,,,
1,2,B4,1,0.162414606,4.872371103,267.9841
1,2,B4,2,0.194238014,5.827054929,314.082869
1,2,B4,3,0.176247777,5.28736032,313.89729
1,2,B4,4,0.18978813,5.693568072,338.582024
1,2,B4,5,0.179170289,5.375032195,319.102285
1,2,B4,6,0.100203985,3.006077687,177.160645
1,2,B4,7,0.079924472,2.397701069,142.825031
1,2,B4,8,0.105837039,3.175067503,189.4483
1,2,B4,9,0.100624032,3.018678636,178.507032
1,2,B4,10,0.10641339,3.192354402,184.201578
1,2,B4,11,0.208887412,6.26653658,371.401819
1,2,B4,12,0.19758687,5.927521515,348.148065
1,2,B4,13,0.217412534,6.52228226,388.733611
1,2,B4,14,0.187061366,5.611765823,313.514849
1,2,B4,15,0.215492201,6.464675703,381.636688
1,2,B4,16,0.131277278,3.938264263,233.411
1,2,B4,17,0.121491376,3.64468922,216.497632
1,2,B4,18,0.152282423,4.568406596,271.976408
1,2,B4,19,0.161335797,4.840004201,287.661726
1,2,B4,20,0.180527112,5.415737594,321.157732
1,2,B4,21,0.233175445,6.995163541,414.819116
1,2,B4,22,0.206791006,6.203642386,368.294781
1,2,B4,23,0.174054531,5.221561337,308.598684
1,2,B4,24,0.200264026,6.007834817,356.269702
1,2,B4,25,0.200478291,6.014265172,354.646096
1,2,B4,26,0.207154077,6.214527308,5.386006
,,,,,,
1,2,B5,1,0.131210283,3.936252121,216.496967
1,2,B5,2,0.132541072,3.976176652,214.583995
1,2,B5,3,0.138811074,4.164273958,247.222522
1,2,B5,4,0.152021142,4.560569131,271.205717
1,2,B5,5,0.129736132,3.892031613,230.800578
1,2,B5,6,0.072321607,2.16961688,127.719958
1,2,B5,7,0.063217674,1.896504913,112.969983
1,2,B5,8,0.053932527,1.61795357,96.539224
1,2,B5,9,0.061799545,1.853958591,109.632392
