Trial,Dose,Well,Minute,MD ,MV,TD
3,1,A2,11,0.114449804,3.433447563,199.142659
1,1,A2,12,0.22958556,6.887475134,410.039811
2,1,A2,12,0.155568885,4.667005097,255.755247
3,1,A2,12,0.13945128,4.183479081,245.713156
1,1,A2,13,0.185856268,5.575614192,330.266589
2,1,A2,13,0.201813446,6.054315537,356.806172
3,1,A2,13,0.16743437,5.022960238,295.856532
1,1,A2,14,0.172398695,5.171892515,308.421266
2,1,A2,14,0.182167935,5.464960993,324.805428
3,1,A2,14,0.182913477,5.487324438,327.232211
1,1,A2,15,0.139109576,4.173234108,247.893265
2,1,A2,15,0.199710495,5.991230891,354.086707
3,1,A2,15,0.204293026,6.128706822,363.845879
1,1,A2,16,0.114715739,3.44142787,205.226457
2,1,A2,16,0.193241531,5.797168805,344.549649
3,1,A2,16,0.10729075,3.21868278,188.724429
1,1,A2,17,0.215608801,6.468176308,380.765142
2,1,A2,17,0.165789235,4.973607167,293.778525
3,1,A2,17,0.104790877,3.143680088,142.306011
1,1,A2,18,0.255812348,7.674265535,427.974059
2,1,A2,18,0.197040933,5.911146328,343.442347
3,1,A2,18,0.073714712,2.211409025,96.05027
1,1,A2,19,0.26709318,8.012684498,470.885276
2,1,A2,19,0.223653443,6.709504391,389.156991
3,1,A2,19,0.089821336,2.6946058,159.971799
1,1,A2,20,0.266112971,7.983277668,470.221619
2,1,A2,20,0.277912955,8.337271541,486.903498
3,1,A2,20,0.173142147,5.194198027,304.557036
1,1,A2,21,0.24833203,7.449858937,441.53435
2,1,A2,21,0.279613848,8.388301376,485.689254
3,1,A2,21,0.257740463,7.732103076,448.210666
1,1,A2,22,0.164707325,4.941151604,293.67316
2,1,A2,22,0.222099693,6.662898807,390.89546
3,1,A2,22,0.223785635,6.71347542,380.659365
1,1,A2,23,0.118265408,3.547911895,211.576815
2,1,A2,23,0.135772403,4.073114954,238.144795
3,1,A2,23,0.22727563,6.818173456,395.914147
1,1,A2,24,0.07902417,2.370693664,141.058143
2,1,A2,24,0.092946132,2.788344314,162.469839
3,1,A2,24,0.191335433,5.739982912,340.959741
1,1,A2,25,0.049422293,1.482649377,88.021104
2,1,A2,25,0.097730196,2.931864934,171.125573
3,1,A2,25,0.181923024,5.457612895,323.64106
1,1,A3,1,6.531294286,195.9358429,45.71906
2,1,A3,1,0.204360763,6.130738396,359.266221
3,1,A3,1,0.167166824,5.014933625,297.89128
1,1,A3,2,9.544087143,286.3164286,66.80861
2,1,A3,2,0.16617976,4.985326839,296.464691
3,1,A3,2,0.139170425,4.175054539,232.414609
1,1,A3,3,7.354224545,220.6234364,80.89647
2,1,A3,3,0.239657365,7.18961548,424.193536
3,1,A3,3,0.184623434,5.538620931,327.152725
1,1,A3,4,8.14375,244.3095714,57.00625
2,1,A3,4,0.173206089,5.196104418,309.346075
3,1,A3,4,0.175612305,5.268292344,308.726433
1,1,A3,5,9.882217778,296.4623333,88.93996
2,1,A3,5,0.090936903,2.728065031,161.594877
3,1,A3,5,0.25542417,7.662618446,440.606693
1,1,A3,6,6.7525699,202.57352,67.525699
2,1,A3,6,0.052291956,1.568736904,92.556763
3,1,A3,6,0.096407748,2.892191394,172.184238
1,1,A3,7,7.017147143,210.5103857,49.12003
2,1,A3,7,0.063978276,1.919322064,114.393157
3,1,A3,7,0.060483958,1.814492899,106.391283
1,1,A3,8,6.312271111,189.3669667,56.81044
2,1,A3,8,0.087887263,2.636582432,119.614565
3,1,A3,8,0.054273233,1.628172503,96.280715
1,1,A3,9,8.779537778,263.3824444,79.01584
