Trail,Dose,Well,Minute,MD,MV,TD
2,1,A2,12,0.164639104,4.939097971,279.886477
2,1,A5,8,0.159466821,4.783938034,279.066937
2,1,B3,19,0.157156945,4.714640568,276.910537
2,1,B3,25,0.169858825,5.095688745,276.020591
2,1,A2,22,0.155388951,4.661604351,274.261498
2,1,B1,21,0.155620827,4.66856172,272.336448
2,1,B3,20,0.154645931,4.63931816,272.331485
2,1,B2,3,0.160707846,4.821163006,272.078384
1,1,A6,21,0.159785029,4.793493635,271.634549
2,1,A3,3,0.182953057,5.488520508,270.038712
2,1,A4,2,0.275807233,8.274088098,269.739474
2,1,B5,3,0.158688321,4.76058513,268.818016
2,1,B5,10,0.153744168,4.612257066,268.283573
1,1,A5,11,0.178635286,5.358986569,267.059752
2,1,A3,19,0.15659019,4.69764722,266.986274
2,1,B2,20,0.149507597,4.485163749,266.422537
2,1,A1,15,0.167199295,5.015905424,264.509284
2,1,B3,4,0.212151722,6.364476541,264.341045
2,1,A5,7,0.151007149,4.530144668,263.960496
1,1,A3,24,0.148551127,4.45647182,263.67825
1,1,A1,22,0.157205872,4.716107528,262.691012
3,1,A5,5,0.152915177,4.587395245,262.402443
2,1,A1,21,0.15188439,4.556464165,261.089266
2,1,A1,3,0.162560055,4.876730771,259.445848
1,1,A3,13,0.145643059,4.369230028,258.370786
3,1,A2,2,0.177330247,5.319833746,258.01551
3,1,A3,21,0.147327263,4.419756179,257.970038
2,1,A4,5,0.167191387,5.015668327,257.809119
1,1,A3,15,0.143424822,4.302683333,256.873857
1,1,A3,25,0.143797675,4.313871479,256.67885
2,1,A2,7,0.147634521,4.428971894,256.441163
2,1,A1,10,0.146047083,4.381350228,255.87449
2,1,A5,20,0.144435595,4.333008405,255.362132
2,1,A1,13,0.160950619,4.828451199,255.106731
2,1,A5,4,0.180034271,5.400948425,254.928528
2,1,A4,20,0.144418425,4.33249288,254.754101
2,1,B2,5,0.151869876,4.556031056,253.015214
1,1,A1,13,0.145889178,4.376612897,252.825945
1,1,A3,14,0.142386768,4.271541318,252.736514
1,1,A5,13,0.163236603,4.897034433,251.874078
2,1,A6,21,0.142749141,4.282414832,250.524743
1,1,A6,23,0.146598153,4.397879442,249.510056
1,1,A6,25,0.146190861,4.385669261,249.109227
2,1,B5,19,0.140188377,4.205594538,248.974557
2,1,B1,10,0.142056655,4.261642954,248.172976
3,1,A5,4,0.140203282,4.20603949,247.458792
2,1,B2,9,0.14012848,4.203793001,247.046511
2,1,B2,10,0.140316496,4.209431407,245.413551
2,1,B5,25,0.139128024,4.173784407,245.282706
2,1,A5,19,0.138473214,4.154136492,243.158963
1,1,A4,10,0.173044471,5.191260193,241.916171
1,1,A1,25,0.140237685,4.207067311,240.928342
3,1,A2,13,0.134571392,4.037083824,237.518506
2,1,A1,20,0.134866946,4.045951092,237.096091
2,1,B3,18,0.135479493,4.064329685,236.547195
1,1,A1,24,0.136507783,4.09517577,233.97434
2,1,B2,23,0.133555125,4.006598027,233.587913
2,1,B5,9,0.130453322,3.913543715,232.46782
1,1,A4,12,0.149433912,4.482948608,231.921432
1,1,A6,22,0.135875169,4.076199683,231.803039
1,1,A4,24,0.153674459,4.61017854,231.58741
2,1,A3,8,0.139238098,4.177085634,229.325147
2,1,A4,14,0.130510643,3.915268158,228.915667
2,1,A5,2,0.223301643,6.698962383,228.660882
1,1,A3,3,0.127440007,3.823149357,227.990173
2,1,A4,19,0.129387194,3.881563027,227.850849
2,1,A3,7,0.133620545,4.008550553,227.288547
2,1,B3,16,0.129649032,3.88941648,227.274753
1,1,A6,19,0.128461143,3.853780107,227.247762
2,1,A4,22,0.126654617,3.799585319,226.458455
1,1,A3,22,0.127560912,3.826775198,225.782815
