Trail,Dose,Well,Minute,MD,MV,TD
1,1,A5,2,0.026090958,0.782718805,46.520178
1,1,A5,3,0.030174496,0.905222627,54.102872
1,1,A5,4,0.060674621,1.82021233,107.818802
1,1,A5,5,0.125557323,3.766665725,219.097529
1,1,A5,6,0.038248361,1.147435838,68.273325
1,1,A5,7,0.021752591,0.652567558,36.5226
1,1,A5,8,0.036129674,1.08387488,46.715668
1,1,A5,9,0.045651496,1.369521109,81.122709
1,1,A5,10,0.042753742,1.282590427,76.144415
1,1,A5,11,0.078941978,2.368224177,137.595867
1,1,A5,12,0.2371245,7.113644928,395.997915
1,1,A5,13,0.168101107,5.042965014,289.974409
1,1,A5,14,0.208980318,6.269327657,366.551478
1,1,A5,15,0.171977634,5.159260868,281.355409
1,1,A5,16,0.079840128,2.395172664,142.674308
1,1,A5,17,0.054879034,1.64634927,97.794438
1,1,A5,18,0.071871277,2.156105261,127.859001
1,1,A5,19,0.039389825,1.181681307,70.232058
1,1,A5,20,0.063920776,1.917593733,113.011932
1,1,A5,21,0.167036868,5.011036691,294.318962
1,1,A5,22,0.180423279,5.412619315,308.343384
1,1,A5,23,0.145814135,4.37435969,254.154038
1,1,A5,24,0.155368222,4.660981476,264.125978
1,1,A5,25,0.196125438,5.883682828,341.846638
1,1,A5,26,0.019230538,0.576911923,0.499994
,,,,,,
1,1,A6,1,0.02675791,0.802726805,47.655837
1,1,A6,2,0.018567346,0.557013188,33.142712
1,1,A6,3,0.017152723,0.514575331,30.789138
1,1,A6,4,0.0179792,0.539369544,31.949038
1,1,A6,5,0.018595684,0.557862794,32.877169
1,1,A6,6,0.18507797,5.552263561,331.104488
1,1,A6,7,0.082226173,2.466752138,138.057745
1,1,A6,8,0.146629785,4.398834788,189.885571
1,1,A6,9,0.184145749,5.524292513,326.122122
1,1,A6,10,0.200451469,6.013458033,354.598648
1,1,A6,11,0.235012167,7.050269598,415.266499
1,1,A6,12,0.175945797,5.278304935,313.359465
1,1,A6,13,0.111226502,3.336751565,198.316853
1,1,A6,14,0.100921515,3.027601169,180.447668
1,1,A6,15,0.112837929,3.385089923,190.583262
1,1,A6,16,0.098413213,2.952356388,176.553304
1,1,A6,17,0.120277149,3.608267444,213.612216
1,1,A6,18,0.127457301,3.823671686,226.746538
1,1,A6,19,0.152168201,4.564976477,269.946389
1,1,A6,20,0.206769043,6.202979865,368.462435
1,1,A6,21,0.24249356,7.274701506,431.396044
1,1,A6,22,0.154953994,4.648554582,274.578477
1,1,A6,23,0.216195117,6.485767647,379.422431
1,1,A6,24,0.292530396,8.775783464,499.934447
1,1,A6,25,0.240875521,7.226171106,415.992024
1,1,A6,26,0.153238038,4.597043846,3.984189
,,B1,No Fish,,,
1,2,B2,1,0.103355294,3.100615932,183.455646
1,2,B2,2,0.11142131,3.342591886,196.770034
1,2,B2,3,0.112252572,3.367530238,198.462547
1,2,B2,4,0.121659883,3.649743029,214.851354
1,2,B2,5,0.119461496,3.583794191,208.938156
1,2,B2,6,0.056943952,1.708296213,101.189402
1,2,B2,7,0.057431144,1.722913255,95.622854
1,2,B2,8,0.090411886,2.712313671,116.992981
1,2,B2,9,0.088404258,2.652086055,157.094367
1,2,B2,10,0.133495352,4.004804397,232.548903
1,2,B2,11,0.168681483,5.060368176,283.047528
1,2,B2,12,0.158909377,4.767213792,265.696479
1,2,B2,13,0.151049419,4.531416283,260.107099
1,2,B2,14,0.172662628,5.179803276,299.396997
1,2,B2,15,0.1379501,4.138445027,226.652015
1,2,B2,16,0.101626887,3.048762466,179.676337
1,2,B2,17,0.116024236,3.480678716,203.390486
1,2,B2,18,0.115146409,3.454347862,200.930483
1,2,B2,19,0.1180336,3.540955298,207.621102
1,2,B2,20,0.104112355,3.12332804,182.196621
1,2,B2,21,0.208405479,6.252068097,355.956558
1,2,B2,22,0.186089345,5.582607751,305.372615
1,2,B2,23,0.183677489,5.510241874,314.639538
1,2,B2,24,0.129589672,3.887635006,221.33916
