Trial,Dose,Well,Minute,MD,MV,TD
1,8,C5,11,0.228326627,6.849700646,399.343271
1,8,C4,11,0.228244505,6.847244255,396.917195
1,8,C3,21,0.315454331,9.463510859,393.056096
1,8,B4,13,0.235430236,7.06280178,392.933064
1,8,C5,4,0.216509245,6.495184783,383.870892
1,8,C5,13,0.22398471,6.719443751,380.997991
1,8,C5,15,0.215162628,6.454788201,379.11655
1,8,B5,15,0.216038201,6.48105438,370.937591
1,8,C4,21,0.275539227,8.266058229,357.925456
1,8,B4,11,0.200693976,6.020730006,355.027644
1,8,C2,5,0.197875601,5.93618197,352.614321
1,8,C5,10,0.192955006,5.788565137,344.038775
1,8,B4,5,0.193361769,5.800770946,341.283522
1,8,B4,15,0.193506834,5.805123052,327.800577
3,8,B6,8,7.523408302,225.6988233,323.506557
3,8,B6,14,0.183445373,5.503283507,317.543941
1,8,B5,13,0.199333405,5.97991583,316.940114
1,8,B5,21,0.246528975,7.39576104,315.310559
1,8,C1,2,0.174599216,5.237904019,312.357997
1,8,B4,12,0.181982822,5.459399895,312.282523
1,8,B5,1,0.174347161,5.230342515,311.209682
1,8,C1,12,0.176712326,5.301295441,310.483557
1,8,C4,1,0.17285319,5.185526698,308.88865
1,8,C5,5,0.173241364,5.197168281,307.33018
1,8,C4,12,0.175251335,5.2574619,307.21559
1,8,C5,1,0.171841365,5.15517144,306.736837
3,8,B6,9,7.832676974,234.9773205,305.474402
1,8,C2,4,0.171042656,5.131204634,304.113843
1,8,C2,2,0.169487625,5.084553751,303.213361
1,8,C5,2,0.169649957,5.089426422,302.485874
1,8,C5,12,0.175160566,5.254743878,301.276174
1,8,C2,21,0.22838476,6.851445961,300.782729
1,8,B5,14,0.175362486,5.260799568,300.395939
1,8,C1,3,0.167070085,5.012029378,298.220101
1,8,C2,14,0.168303796,5.049037832,298.066022
1,8,C2,11,0.167491884,5.024682708,297.465586
1,8,C4,10,0.165647107,4.969341538,295.017497
3,8,B6,11,7.563902308,226.9138692,294.99219
3,8,C2,2,0.166877793,5.006266595,294.539305
1,8,B4,20,0.167283571,5.01842754,294.419085
1,8,C5,3,0.165675186,4.970185985,294.239131
1,8,B4,4,0.165887763,4.976562136,293.621341
1,8,C1,5,0.165966467,4.978922906,292.432914
1,8,C2,15,0.164350788,4.930460495,292.05135
1,8,C1,4,0.162550163,4.876437164,289.98949
1,8,C1,15,0.164481356,4.934370747,288.335817
1,8,B4,14,0.168585072,5.057493488,287.606132
3,8,B6,10,6.827913786,204.8343786,286.772379
1,8,C4,2,0.157082965,4.712423734,281.021424
1,8,C1,14,0.160322847,4.809617818,280.725305
1,8,B4,2,0.155580323,4.667344365,278.022038
1,8,C4,13,0.164599724,4.937925724,277.515135
1,8,C4,18,0.15546014,4.663740255,274.231687
1,8,B6,15,0.163890459,4.916644679,273.533176
1,8,C4,15,0.16206163,4.861785949,272.4256
1,8,B4,3,0.150883074,4.526430218,269.628053
1,8,C2,3,0.150734428,4.521968239,268.759485
1,8,C1,13,0.159214505,4.776364295,266.525082
3,8,B6,22,0.158556154,4.756615944,266.215783
1,8,C5,21,0.198014958,5.940366062,261.973789
1,8,B5,5,0.149042767,4.471219408,261.719098
1,8,C5,8,0.148741662,4.46218829,260.892875
1,8,C2,12,0.146566583,4.396936478,258.836585
1,8,C4,4,0.146513007,4.39532535,257.423353
1,8,C1,11,0.146339351,4.390121535,255.508507
1,8,B6,4,0.143984624,4.319483311,255.284738
1,8,B5,3,0.142477416,4.274264353,254.322187
1,8,C2,13,0.148724098,4.461659496,254.020759
1,8,B6,3,0.146395465,4.391799607,253.117759
1,8,B6,14,0.144882909,4.346423462,252.386027
3,8,B6,23,0.148106278,4.443126877,250.892035
1,8,C2,1,0.140154762,4.204582893,250.456559
1,8,C4,14,0.152139384,4.564119161,250.269287
3,8,B3,2,0.140253117,4.207535439,247.546751
1,8,B5,4,0.139119256,4.173515435,246.519321
3,8,B6,3,0.140950449,4.22845545,245.676632
1,8,C3,12,0.142249793,4.267430545,245.523143
1,8,C1,1,0.137823846,4.134658276,245.464269
1,8,B5,12,0.142760734,4.282760066,239.26699
1,8,C4,3,0.13366594,4.009920595,238.05904
1,8,C3,11,0.140627677,4.218772923,236.254498
1,8,B5,2,0.132231649,3.966892766,235.240104
3,8,B4,13,0.131632964,3.948933674,232.858714
1,8,B6,2,0.132641533,3.979190406,231.990042
1,8,B4,1,0.129665885,3.889920314,231.453605
1,8,C3,5,0.131867116,3.955956772,229.976251
3,8,B4,10,0.134773463,4.043147588,228.575794
3,8,B6,2,0.128749271,3.862422669,227.242463
1,8,C4,9,0.125614842,3.768391543,223.091959
1,8,B6,1,0.125196494,3.75584136,221.848187
